File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF198ESK	fastq	fastq		reads		ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	50		paired-ended	1	/files/ENCFF607DEZ/			550269016	Gene Yeo, UCSD	c8988d940a5610bb4618f75d85f15aa2		https://www.encodeproject.org/files/ENCFF198ESK/@@download/ENCFF198ESK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF085YZL/	released	s3://encode-public/2018/04/29/41701524-34b2-4851-927a-a8de695188b0/ENCFF198ESK.fastq.gz			mixed read lengths		
ENCFF484YDH	fastq	fastq		reads		ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1	50		paired-ended	1	/files/ENCFF983WHV/			552835474	Gene Yeo, UCSD	9028e45263eb76bcb0619b8977a0624a		https://www.encodeproject.org/files/ENCFF484YDH/@@download/ENCFF484YDH.fastq.gz		Illumina HiSeq 4000	/files/ENCFF085YZL/	released	s3://encode-public/2018/04/29/50e70729-bbd9-4d76-ac4d-c0c2899191a2/ENCFF484YDH.fastq.gz			mixed read lengths		
ENCFF983WHV	fastq	fastq		reads		ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1	45		paired-ended	2	/files/ENCFF484YDH/			570980623	Gene Yeo, UCSD	0524b6c5590aa7478feea81c6e9b6b83		https://www.encodeproject.org/files/ENCFF983WHV/@@download/ENCFF983WHV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF855ENR/	released	s3://encode-public/2018/04/29/4b0f46af-6caf-44f6-a0d3-7edac992a246/ENCFF983WHV.fastq.gz			mixed read lengths		
ENCFF607DEZ	fastq	fastq		reads		ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	45		paired-ended	2	/files/ENCFF198ESK/			566780875	Gene Yeo, UCSD	ac4c9816a313f712211cb22d08b09c31		https://www.encodeproject.org/files/ENCFF607DEZ/@@download/ENCFF607DEZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF855ENR/	released	s3://encode-public/2018/04/29/9d72c281-a9e3-4177-9c1e-f0a3c9400767/ENCFF607DEZ.fastq.gz			mixed read lengths		
ENCFF759SQV	bam	bam		alignments	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF484YDH/, /files/ENCFF983WHV/	876959637	Gene Yeo, UCSD	8b5b4b5aae46bc7b8be5a953bd458aae		https://www.encodeproject.org/files/ENCFF759SQV/@@download/ENCFF759SQV.bam				released	s3://encode-public/2018/04/29/716095f2-8e8c-475c-92d5-33c94aab1d5b/ENCFF759SQV.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF251LGV	bam	bam		alignments	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF198ESK/, /files/ENCFF607DEZ/	869259454	Gene Yeo, UCSD	dfd585aa9f5914d044d5a6f14975408e		https://www.encodeproject.org/files/ENCFF251LGV/@@download/ENCFF251LGV.bam				released	s3://encode-public/2018/04/29/bdfbe077-72ad-4be4-a587-8ea9d4f6cb4a/ENCFF251LGV.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF873GYP	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF251LGV/	38722001	Gene Yeo, UCSD	d48ad18a18cbebcd1555634d9d6a65d8		https://www.encodeproject.org/files/ENCFF873GYP/@@download/ENCFF873GYP.bigWig				released	s3://encode-public/2018/04/29/f517b103-770e-40f1-80e8-d16bae87fa0c/ENCFF873GYP.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF749GVN	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF759SQV/	38144361	Gene Yeo, UCSD	229fcc0f0df0c6ab360d01f8f0ae4776		https://www.encodeproject.org/files/ENCFF749GVN/@@download/ENCFF749GVN.bigWig				released	s3://encode-public/2018/04/29/f4b31156-9419-4812-9c88-2d91d64232fa/ENCFF749GVN.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF127IJD	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF759SQV/	39560427	Gene Yeo, UCSD	67dda631b20e5905b8c637e367f25a1d		https://www.encodeproject.org/files/ENCFF127IJD/@@download/ENCFF127IJD.bigWig				released	s3://encode-public/2018/04/29/fcbac19b-39e0-49f6-a62c-b13742d74eb1/ENCFF127IJD.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF247JMS	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF251LGV/	39493311	Gene Yeo, UCSD	086f117f12b7af22f59334a6792af76e		https://www.encodeproject.org/files/ENCFF247JMS/@@download/ENCFF247JMS.bigWig				released	s3://encode-public/2018/04/29/7ab581ae-2b08-4e7b-8e6d-bff6510efb1e/ENCFF247JMS.bigWig	Lab custom hg19	archived	mixed read lengths		
