file	batch
ENCFF073JVL_ENCFF118KUA.Aligned.sortedByCoord.out.bed	14
ENCFF854NQW_ENCFF254IXC.Aligned.sortedByCoord.out.bed	14
ENCFF700PUE_ENCFF759MCM.Aligned.sortedByCoord.out.bed	15
ENCFF697TZI_ENCFF510OBB.Aligned.sortedByCoord.out.bed	15
ENCFF564OMO_ENCFF216LRC.Aligned.sortedByCoord.out.bed	15
ENCFF950ZOW_ENCFF273XUY.Aligned.sortedByCoord.out.bed	10
ENCFF486HNX_ENCFF514ODV.Aligned.sortedByCoord.out.bed	10
ENCFF641TMF_ENCFF678ICT.Aligned.sortedByCoord.out.bed	4
ENCFF540XEB_ENCFF351NTZ.Aligned.sortedByCoord.out.bed	4
ENCFF029TOX_ENCFF545VHH.Aligned.sortedByCoord.out.bed	2
ENCFF101NQW_ENCFF169ZNY.Aligned.sortedByCoord.out.bed	2
ENCFF801NUT_ENCFF078FMT.Aligned.sortedByCoord.out.bed	6
ENCFF267RCF_ENCFF990GXR.Aligned.sortedByCoord.out.bed	6
ENCFF974POV_ENCFF535JKG.Aligned.sortedByCoord.out.bed	7
ENCFF184QFG_ENCFF021LRF.Aligned.sortedByCoord.out.bed	7
ENCFF007PXN_ENCFF627DFL.Aligned.sortedByCoord.out.bed	12
ENCFF682EZT_ENCFF660WJN.Aligned.sortedByCoord.out.bed	12
ENCFF472XFX_ENCFF305DES.Aligned.sortedByCoord.out.bed	13
ENCFF229LJE_ENCFF126SEY.Aligned.sortedByCoord.out.bed	13
ENCFF050XKH_ENCFF354EVY.Aligned.sortedByCoord.out.bed	10
ENCFF824OCM_ENCFF440WRR.Aligned.sortedByCoord.out.bed	10
ENCFF024ENI_ENCFF834RFI.Aligned.sortedByCoord.out.bed	12
ENCFF732HIC_ENCFF334MQT.Aligned.sortedByCoord.out.bed	12
ENCFF666NLT_ENCFF612FHM.Aligned.sortedByCoord.out.bed	4
ENCFF867UNS_ENCFF101QIC.Aligned.sortedByCoord.out.bed	4
ENCFF803RDV_ENCFF344GOP.Aligned.sortedByCoord.out.bed	3
ENCFF337NUA_ENCFF721BAT.Aligned.sortedByCoord.out.bed	3
ENCFF385OVT_ENCFF025QPX.Aligned.sortedByCoord.out.bed	3
ENCFF057IWI_ENCFF822HGU.Aligned.sortedByCoord.out.bed	3
ENCFF328MDS_ENCFF658MRD.Aligned.sortedByCoord.out.bed	3
ENCFF803ANX_ENCFF243SCW.Aligned.sortedByCoord.out.bed	3
ENCFF723EHK_ENCFF631HOG.Aligned.sortedByCoord.out.bed	14
ENCFF248EWK_ENCFF491CVX.Aligned.sortedByCoord.out.bed	14
ENCFF654BZD_ENCFF954FQB.Aligned.sortedByCoord.out.bed	7
ENCFF837GDY_ENCFF809FUF.Aligned.sortedByCoord.out.bed	7
ENCFF985YGU_ENCFF477LSX.Aligned.sortedByCoord.out.bed	11
ENCFF723MPA_ENCFF728EBZ.Aligned.sortedByCoord.out.bed	11
ENCFF096AGI_ENCFF765STJ.Aligned.sortedByCoord.out.bed	7
ENCFF326ACB_ENCFF662NRV.Aligned.sortedByCoord.out.bed	7
ENCFF961FEM_ENCFF167AXN.Aligned.sortedByCoord.out.bed	7
ENCFF411QQL_ENCFF544TWW.Aligned.sortedByCoord.out.bed	7
ENCFF828XAK_ENCFF982WYQ.Aligned.sortedByCoord.out.bed	8
ENCFF520YFE_ENCFF540UNK.Aligned.sortedByCoord.out.bed	8
ENCFF293EYK_ENCFF802SMQ.Aligned.sortedByCoord.out.bed	5
ENCFF879NNR_ENCFF980VES.Aligned.sortedByCoord.out.bed	5
ENCFF004FMX_ENCFF569GOY.Aligned.sortedByCoord.out.bed	2
ENCFF007KZA_ENCFF951XMC.Aligned.sortedByCoord.out.bed	2
ENCFF177UID_ENCFF051UMI.Aligned.sortedByCoord.out.bed	5
ENCFF641TDC_ENCFF712MFS.Aligned.sortedByCoord.out.bed	5
ENCFF692NAO_ENCFF649ODX.Aligned.sortedByCoord.out.bed	10
ENCFF453FLY_ENCFF784SYJ.Aligned.sortedByCoord.out.bed	10
ENCFF223HNZ_ENCFF410AVA.Aligned.sortedByCoord.out.bed	14
ENCFF503ZFN_ENCFF959NTL.Aligned.sortedByCoord.out.bed	14
ENCFF784KIA_ENCFF751WNY.Aligned.sortedByCoord.out.bed	12
ENCFF374DXZ_ENCFF169MDM.Aligned.sortedByCoord.out.bed	12
ENCFF381BKH_ENCFF782BGX.Aligned.sortedByCoord.out.bed	6
ENCFF746EGR_ENCFF674ZLX.Aligned.sortedByCoord.out.bed	6
ENCFF339KWQ_ENCFF013HID.Aligned.sortedByCoord.out.bed	13
ENCFF492VLP_ENCFF036PPZ.Aligned.sortedByCoord.out.bed	13
ENCFF809QTD_ENCFF719KZI.Aligned.sortedByCoord.out.bed	2
ENCFF932OGK_ENCFF851CGS.Aligned.sortedByCoord.out.bed	2
ENCFF925HKI_ENCFF532MPJ.Aligned.sortedByCoord.out.bed	6
ENCFF112QUW_ENCFF540KFR.Aligned.sortedByCoord.out.bed	6
ENCFF790UHH_ENCFF782UNR.Aligned.sortedByCoord.out.bed	14
ENCFF818ONJ_ENCFF012VVL.Aligned.sortedByCoord.out.bed	14
ENCFF233HNP_ENCFF877OCU.Aligned.sortedByCoord.out.bed	10
ENCFF218TKQ_ENCFF842CWT.Aligned.sortedByCoord.out.bed	10
ENCFF740MXN_ENCFF231SOE.Aligned.sortedByCoord.out.bed	8
ENCFF588RRE_ENCFF930PYM.Aligned.sortedByCoord.out.bed	8
ENCFF305XOT_ENCFF859IKD.Aligned.sortedByCoord.out.bed	11
ENCFF024XJF_ENCFF096GYX.Aligned.sortedByCoord.out.bed	11
ENCFF478WDZ_ENCFF499XEL.Aligned.sortedByCoord.out.bed	9
ENCFF415JDH_ENCFF967JUQ.Aligned.sortedByCoord.out.bed	9
ENCFF632ZUK_ENCFF562IPO.Aligned.sortedByCoord.out.bed	1
ENCFF074YHQ_ENCFF405MOJ.Aligned.sortedByCoord.out.bed	1
ENCFF515GRY_ENCFF346QAG.Aligned.sortedByCoord.out.bed	14
ENCFF112QUX_ENCFF459ILB.Aligned.sortedByCoord.out.bed	14
ENCFF944SAL_ENCFF216MOP.Aligned.sortedByCoord.out.bed	10
ENCFF831RHN_ENCFF682NDX.Aligned.sortedByCoord.out.bed	10
ENCFF170JPS_ENCFF041BXD.Aligned.sortedByCoord.out.bed	15
ENCFF573JFO_ENCFF857IWY.Aligned.sortedByCoord.out.bed	15
ENCFF854HZB_ENCFF693SYT.Aligned.sortedByCoord.out.bed	10
ENCFF455XWV_ENCFF045UGV.Aligned.sortedByCoord.out.bed	10
ENCFF197SMX_ENCFF060QXE.Aligned.sortedByCoord.out.bed	10
