file	batch
ENCFF974PKZ_ENCFF960GUL.Aligned.sortedByCoord.out.bed	4
ENCFF463PLC_ENCFF843ZZY.Aligned.sortedByCoord.out.bed	4
ENCFF917JQX_ENCFF381MBJ.Aligned.sortedByCoord.out.bed	16
ENCFF361LRD_ENCFF786KPC.Aligned.sortedByCoord.out.bed	16
ENCFF177VDP_ENCFF646ZHX.Aligned.sortedByCoord.out.bed	4
ENCFF165IOZ_ENCFF227XMS.Aligned.sortedByCoord.out.bed	4
ENCFF573OBT_ENCFF972LAV.Aligned.sortedByCoord.out.bed	8
ENCFF155CZF_ENCFF069SAK.Aligned.sortedByCoord.out.bed	8
ENCFF634BAP_ENCFF240HLE.Aligned.sortedByCoord.out.bed	19
ENCFF465SGD_ENCFF113CEW.Aligned.sortedByCoord.out.bed	19
ENCFF652FGN_ENCFF219IGA.Aligned.sortedByCoord.out.bed	14
ENCFF748RMW_ENCFF126HTE.Aligned.sortedByCoord.out.bed	14
ENCFF051ETK_ENCFF042XTF.Aligned.sortedByCoord.out.bed	19
ENCFF393PAE_ENCFF270CKE.Aligned.sortedByCoord.out.bed	19
ENCFF713STX_ENCFF996MJO.Aligned.sortedByCoord.out.bed	19
ENCFF337IPL_ENCFF378KYQ.Aligned.sortedByCoord.out.bed	19
ENCFF892IAG_ENCFF153TJA.Aligned.sortedByCoord.out.bed	19
ENCFF466ADQ_ENCFF003PXR.Aligned.sortedByCoord.out.bed	19
ENCFF304BOT_ENCFF400GAJ.Aligned.sortedByCoord.out.bed	14
ENCFF625XBT_ENCFF937GQM.Aligned.sortedByCoord.out.bed	14
ENCFF169FIG_ENCFF398OTD.Aligned.sortedByCoord.out.bed	2
ENCFF385MXH_ENCFF025KBG.Aligned.sortedByCoord.out.bed	2
ENCFF400OPO_ENCFF082HCX.Aligned.sortedByCoord.out.bed	13
ENCFF048OSW_ENCFF329XPN.Aligned.sortedByCoord.out.bed	5
ENCFF008KMF_ENCFF156XPL.Aligned.sortedByCoord.out.bed	2
ENCFF784DCC_ENCFF089QLK.Aligned.sortedByCoord.out.bed	2
ENCFF923CVD_ENCFF812OKM.Aligned.sortedByCoord.out.bed	8
ENCFF757NXE_ENCFF736GGP.Aligned.sortedByCoord.out.bed	8
ENCFF514QRX_ENCFF999GWJ.Aligned.sortedByCoord.out.bed	18
ENCFF673ZNM_ENCFF278HMM.Aligned.sortedByCoord.out.bed	18
ENCFF299OYE_ENCFF390LQU.Aligned.sortedByCoord.out.bed	8
ENCFF283RKD_ENCFF958QZU.Aligned.sortedByCoord.out.bed	8
ENCFF242STF_ENCFF599IHB.Aligned.sortedByCoord.out.bed	4
ENCFF076CXW_ENCFF541BOV.Aligned.sortedByCoord.out.bed	4
ENCFF377AID_ENCFF106VYU.Aligned.sortedByCoord.out.bed	16
ENCFF307GDU_ENCFF251QLL.Aligned.sortedByCoord.out.bed	16
ENCFF930LSL_ENCFF241JFB.Aligned.sortedByCoord.out.bed	17
ENCFF596OXV_ENCFF884TLM.Aligned.sortedByCoord.out.bed	17
ENCFF761WMV_ENCFF423NOE.Aligned.sortedByCoord.out.bed	1
ENCFF704MDH_ENCFF305QYC.Aligned.sortedByCoord.out.bed	1
ENCFF903QKH_ENCFF625DEE.Aligned.sortedByCoord.out.bed	2
ENCFF916IRV_ENCFF256EKE.Aligned.sortedByCoord.out.bed	2
ENCFF862IPI_ENCFF972NNI.Aligned.sortedByCoord.out.bed	15
ENCFF795CAW_ENCFF125PVH.Aligned.sortedByCoord.out.bed	15
ENCFF062RGF_ENCFF445YQF.Aligned.sortedByCoord.out.bed	2
ENCFF096SYL_ENCFF653TSE.Aligned.sortedByCoord.out.bed	2
