file	batch
ENCFF823IVL_ENCFF775DWO.Aligned.sortedByCoord.out.bed	24
ENCFF277QZF_ENCFF951XOY.Aligned.sortedByCoord.out.bed	24
ENCFF661BNH_ENCFF632MDU.Aligned.sortedByCoord.out.bed	24
ENCFF673CZF_ENCFF808NBJ.Aligned.sortedByCoord.out.bed	24
ENCFF895XLV_ENCFF421HAI.Aligned.sortedByCoord.out.bed	24
ENCFF868EZZ_ENCFF658LQE.Aligned.sortedByCoord.out.bed	24
ENCFF186GHO_ENCFF374FNO.Aligned.sortedByCoord.out.bed	24
ENCFF223VPY_ENCFF501OVX.Aligned.sortedByCoord.out.bed	24
ENCFF553CUX_ENCFF373YSP.Aligned.sortedByCoord.out.bed	24
ENCFF600DQH_ENCFF121ZRB.Aligned.sortedByCoord.out.bed	24
ENCFF558HRO_ENCFF184PIP.Aligned.sortedByCoord.out.bed	24
ENCFF358KYL_ENCFF638UWY.Aligned.sortedByCoord.out.bed	24
ENCFF370WAJ_ENCFF841CWK.Aligned.sortedByCoord.out.bed	15
ENCFF026VNR_ENCFF443IPN.Aligned.sortedByCoord.out.bed	15
ENCFF336SQD_ENCFF790WRB.Aligned.sortedByCoord.out.bed	24
ENCFF929SEM_ENCFF221UYQ.Aligned.sortedByCoord.out.bed	24
ENCFF677ZMU_ENCFF503GXO.Aligned.sortedByCoord.out.bed	8
ENCFF272MLI_ENCFF824CXQ.Aligned.sortedByCoord.out.bed	8
ENCFF403NYJ_ENCFF846EMV.Aligned.sortedByCoord.out.bed	24
ENCFF031KRB_ENCFF101MKM.Aligned.sortedByCoord.out.bed	24
ENCFF517LKM_ENCFF765YYE.Aligned.sortedByCoord.out.bed	24
ENCFF876FSQ_ENCFF059XLR.Aligned.sortedByCoord.out.bed	24
ENCFF525YRL_ENCFF043BCI.Aligned.sortedByCoord.out.bed	4
ENCFF154HGX_ENCFF682FAA.Aligned.sortedByCoord.out.bed	4
ENCFF326ASD_ENCFF304DSP.Aligned.sortedByCoord.out.bed	15
ENCFF294JZJ_ENCFF404VDD.Aligned.sortedByCoord.out.bed	15
ENCFF138XVU_ENCFF619WHQ.Aligned.sortedByCoord.out.bed	15
ENCFF922LCG_ENCFF455KZB.Aligned.sortedByCoord.out.bed	15
ENCFF350JEN_ENCFF243BZZ.Aligned.sortedByCoord.out.bed	15
ENCFF474OSW_ENCFF492IOZ.Aligned.sortedByCoord.out.bed	15
ENCFF144IXI_ENCFF283BFT.Aligned.sortedByCoord.out.bed	25
ENCFF478SRL_ENCFF739UUY.Aligned.sortedByCoord.out.bed	25
ENCFF972SDY_ENCFF391NQR.Aligned.sortedByCoord.out.bed	21
ENCFF453XVV_ENCFF972OQE.Aligned.sortedByCoord.out.bed	21
ENCFF727KCH_ENCFF926IHV.Aligned.sortedByCoord.out.bed	24
ENCFF852TDH_ENCFF038WII.Aligned.sortedByCoord.out.bed	24
ENCFF866CST_ENCFF404VZE.Aligned.sortedByCoord.out.bed	4
ENCFF846HDA_ENCFF633SGL.Aligned.sortedByCoord.out.bed	4
ENCFF039AHJ_ENCFF410DNJ.Aligned.sortedByCoord.out.bed	10
ENCFF742VSP_ENCFF264WNW.Aligned.sortedByCoord.out.bed	10
ENCFF404AVL_ENCFF406DBJ.Aligned.sortedByCoord.out.bed	16
ENCFF557NVN_ENCFF986FPH.Aligned.sortedByCoord.out.bed	16
ENCFF361CFU_ENCFF147BWT.Aligned.sortedByCoord.out.bed	3
ENCFF695JZD_ENCFF035GSF.Aligned.sortedByCoord.out.bed	3
ENCFF264BXG_ENCFF259UPG.Aligned.sortedByCoord.out.bed	21
ENCFF387EGG_ENCFF863EAW.Aligned.sortedByCoord.out.bed	21
ENCFF160MRP_ENCFF695MUQ.Aligned.sortedByCoord.out.bed	21
ENCFF282INV_ENCFF341IGR.Aligned.sortedByCoord.out.bed	21
ENCFF123DMW_ENCFF037CNE.Aligned.sortedByCoord.out.bed	14
ENCFF958XZI_ENCFF626TNO.Aligned.sortedByCoord.out.bed	14
ENCFF649AXE_ENCFF756XSJ.Aligned.sortedByCoord.out.bed	1
ENCFF308LRZ_ENCFF094PKO.Aligned.sortedByCoord.out.bed	1
ENCFF926ENE_ENCFF269NJH.Aligned.sortedByCoord.out.bed	14
ENCFF798YGI_ENCFF874FUL.Aligned.sortedByCoord.out.bed	14
ENCFF764VIK_ENCFF890ITA.Aligned.sortedByCoord.out.bed	17
ENCFF663JMD_ENCFF747VCZ.Aligned.sortedByCoord.out.bed	17
ENCFF766IGS_ENCFF723LLW.Aligned.sortedByCoord.out.bed	9
ENCFF986VVL_ENCFF652ZDY.Aligned.sortedByCoord.out.bed	9
ENCFF272WFQ_ENCFF193FFL.Aligned.sortedByCoord.out.bed	14
ENCFF339AAQ_ENCFF326YLT.Aligned.sortedByCoord.out.bed	14
ENCFF711NTG_ENCFF594GXX.Aligned.sortedByCoord.out.bed	1
ENCFF471OOW_ENCFF777MNI.Aligned.sortedByCoord.out.bed	1
ENCFF915IUK_ENCFF300MKG.Aligned.sortedByCoord.out.bed	1
ENCFF274QSX_ENCFF798NIQ.Aligned.sortedByCoord.out.bed	1
ENCFF715KAE_ENCFF131WOU.Aligned.sortedByCoord.out.bed	7
ENCFF223PAF_ENCFF550GUE.Aligned.sortedByCoord.out.bed	7
ENCFF491ZUL_ENCFF902HPG.Aligned.sortedByCoord.out.bed	1
ENCFF844NNV_ENCFF542HCB.Aligned.sortedByCoord.out.bed	1
ENCFF603LXK_ENCFF796TFA.Aligned.sortedByCoord.out.bed	6
ENCFF993GUS_ENCFF679MCW.Aligned.sortedByCoord.out.bed	6
ENCFF468IAR_ENCFF659SYD.Aligned.sortedByCoord.out.bed	1
ENCFF492BTX_ENCFF847HQV.Aligned.sortedByCoord.out.bed	1
ENCFF285CHT_ENCFF198XKY.Aligned.sortedByCoord.out.bed	9
ENCFF112WXE_ENCFF530DTM.Aligned.sortedByCoord.out.bed	9
ENCFF872RJV_ENCFF386PUA.Aligned.sortedByCoord.out.bed	10
ENCFF907CDK_ENCFF256ODI.Aligned.sortedByCoord.out.bed	10
ENCFF118PYP_ENCFF235YCC.Aligned.sortedByCoord.out.bed	9
ENCFF417LQZ_ENCFF624KNV.Aligned.sortedByCoord.out.bed	9
ENCFF933QDD_ENCFF334BJT.Aligned.sortedByCoord.out.bed	6
ENCFF189GFD_ENCFF895BDK.Aligned.sortedByCoord.out.bed	6
ENCFF065LYN_ENCFF943WGV.Aligned.sortedByCoord.out.bed	14
ENCFF876MHP_ENCFF876AJW.Aligned.sortedByCoord.out.bed	14
ENCFF876MMB_ENCFF818XBZ.Aligned.sortedByCoord.out.bed	14
ENCFF072SUV_ENCFF676KSM.Aligned.sortedByCoord.out.bed	14
ENCFF072ANJ_ENCFF774OZE.Aligned.sortedByCoord.out.bed	11
ENCFF813CCQ_ENCFF760ARJ.Aligned.sortedByCoord.out.bed	11
ENCFF311TZW_ENCFF058GKO.Aligned.sortedByCoord.out.bed	6
ENCFF268SVX_ENCFF038XRY.Aligned.sortedByCoord.out.bed	6
ENCFF269UFD_ENCFF282QMJ.Aligned.sortedByCoord.out.bed	23
ENCFF108UVC_ENCFF123LMD.Aligned.sortedByCoord.out.bed	23
ENCFF167BKF_ENCFF609VED.Aligned.sortedByCoord.out.bed	13
ENCFF181CND_ENCFF428OIY.Aligned.sortedByCoord.out.bed	13
ENCFF129JWT_ENCFF346MFF.Aligned.sortedByCoord.out.bed	21
ENCFF383DLH_ENCFF565IUW.Aligned.sortedByCoord.out.bed	21
ENCFF975XQH_ENCFF424OZB.Aligned.sortedByCoord.out.bed	4
ENCFF475BKB_ENCFF079NDM.Aligned.sortedByCoord.out.bed	4
ENCFF854SOV_ENCFF445RNI.Aligned.sortedByCoord.out.bed	14
ENCFF118DRU_ENCFF457UXJ.Aligned.sortedByCoord.out.bed	14
ENCFF763ICV_ENCFF391OVD.Aligned.sortedByCoord.out.bed	3
ENCFF515DAB_ENCFF275BLA.Aligned.sortedByCoord.out.bed	3
ENCFF491ITH_ENCFF454KMT.Aligned.sortedByCoord.out.bed	21
ENCFF635IHA_ENCFF837DMD.Aligned.sortedByCoord.out.bed	21
ENCFF690CJU_ENCFF696GCJ.Aligned.sortedByCoord.out.bed	23
ENCFF244IXN_ENCFF010JXT.Aligned.sortedByCoord.out.bed	23
ENCFF573XLA_ENCFF074SVD.Aligned.sortedByCoord.out.bed	20
ENCFF972FSH_ENCFF307SIY.Aligned.sortedByCoord.out.bed	20
ENCFF267SMC_ENCFF754KCM.Aligned.sortedByCoord.out.bed	14
ENCFF357UIE_ENCFF206QPT.Aligned.sortedByCoord.out.bed	14
ENCFF022ZFY_ENCFF785OZW.Aligned.sortedByCoord.out.bed	23
ENCFF533CTF_ENCFF701CAJ.Aligned.sortedByCoord.out.bed	23
ENCFF833EAW_ENCFF879VXM.Aligned.sortedByCoord.out.bed	13
ENCFF705YLZ_ENCFF912KOQ.Aligned.sortedByCoord.out.bed	13
ENCFF741EQA_ENCFF695YNR.Aligned.sortedByCoord.out.bed	3
ENCFF578TWY_ENCFF338TUE.Aligned.sortedByCoord.out.bed	3
