file	batch
ENCFF480CSX_ENCFF372YXH.Aligned.sortedByCoord.out.bed	21
ENCFF881WNN_ENCFF994ZDW.Aligned.sortedByCoord.out.bed	21
ENCFF710VBD_ENCFF235IQE.Aligned.sortedByCoord.out.bed	21
ENCFF968XRD_ENCFF935MWY.Aligned.sortedByCoord.out.bed	21
ENCFF973VXT_ENCFF876EDH.Aligned.sortedByCoord.out.bed	21
ENCFF918XMS_ENCFF342RXT.Aligned.sortedByCoord.out.bed	21
ENCFF166XSJ_ENCFF077APU.Aligned.sortedByCoord.out.bed	31
ENCFF706KHZ_ENCFF514EBL.Aligned.sortedByCoord.out.bed	31
ENCFF610CWD_ENCFF919SZI.Aligned.sortedByCoord.out.bed	22
ENCFF241PSY_ENCFF448MSH.Aligned.sortedByCoord.out.bed	22
ENCFF622GUD_ENCFF020BZP.Aligned.sortedByCoord.out.bed	21
ENCFF923NMY_ENCFF144DVD.Aligned.sortedByCoord.out.bed	21
ENCFF439PTG_ENCFF002ZEP.Aligned.sortedByCoord.out.bed	21
ENCFF742HTZ_ENCFF803IAI.Aligned.sortedByCoord.out.bed	20
ENCFF992JMW_ENCFF792QAB.Aligned.sortedByCoord.out.bed	20
ENCFF664XEW_ENCFF892GUZ.Aligned.sortedByCoord.out.bed	23
ENCFF512YTM_ENCFF908ZPI.Aligned.sortedByCoord.out.bed	23
ENCFF920NAJ_ENCFF881GGV.Aligned.sortedByCoord.out.bed	21
ENCFF320IYT_ENCFF707BTF.Aligned.sortedByCoord.out.bed	21
ENCFF507ZOO_ENCFF256UZO.Aligned.sortedByCoord.out.bed	28
ENCFF160TRI_ENCFF795GAH.Aligned.sortedByCoord.out.bed	28
ENCFF151GQG_ENCFF582PPR.Aligned.sortedByCoord.out.bed	33
ENCFF085TKK_ENCFF716RTI.Aligned.sortedByCoord.out.bed	33
ENCFF309PWM_ENCFF904VNO.Aligned.sortedByCoord.out.bed	33
ENCFF928HOG_ENCFF420ZNS.Aligned.sortedByCoord.out.bed	33
ENCFF526GKO_ENCFF834SDE.Aligned.sortedByCoord.out.bed	14
ENCFF183KWP_ENCFF369EMM.Aligned.sortedByCoord.out.bed	14
ENCFF728ERB_ENCFF186HKI.Aligned.sortedByCoord.out.bed	32
ENCFF081KKI_ENCFF706KWP.Aligned.sortedByCoord.out.bed	32
ENCFF002CBR_ENCFF002CBS.Aligned.sortedByCoord.out.bed	6
ENCFF002CBT_ENCFF002CBU.Aligned.sortedByCoord.out.bed	6
ENCFF835GXJ_ENCFF804VKH.Aligned.sortedByCoord.out.bed	8
ENCFF714OWM_ENCFF934XRW.Aligned.sortedByCoord.out.bed	8
ENCFF303JYO_ENCFF676EOG.Aligned.sortedByCoord.out.bed	27
ENCFF030TOO_ENCFF585QQZ.Aligned.sortedByCoord.out.bed	27
ENCFF523XON_ENCFF609PLL.Aligned.sortedByCoord.out.bed	27
ENCFF945WRF_ENCFF660PCY.Aligned.sortedByCoord.out.bed	27
ENCFF043FJK_ENCFF143SRK.Aligned.sortedByCoord.out.bed	29
ENCFF147QKG_ENCFF457SHF.Aligned.sortedByCoord.out.bed	29
ENCFF779NFX_ENCFF363LMQ.Aligned.sortedByCoord.out.bed	20
ENCFF211SQJ_ENCFF748ZFR.Aligned.sortedByCoord.out.bed	20
ENCFF407ZYA_ENCFF127XBT.Aligned.sortedByCoord.out.bed	26
ENCFF900XRF_ENCFF166GPD.Aligned.sortedByCoord.out.bed	26
ENCFF808PNY_ENCFF923JKP.Aligned.sortedByCoord.out.bed	24
ENCFF763GZO_ENCFF647QUX.Aligned.sortedByCoord.out.bed	24
ENCFF595QMT_ENCFF792GRH.Aligned.sortedByCoord.out.bed	10
ENCFF870LAT_ENCFF589YEV.Aligned.sortedByCoord.out.bed	10
ENCFF846TMX_ENCFF216AYS.Aligned.sortedByCoord.out.bed	24
ENCFF288NBO_ENCFF126FJI.Aligned.sortedByCoord.out.bed	24
ENCFF942ZQA_ENCFF274IFL.Aligned.sortedByCoord.out.bed	23
ENCFF765JVM_ENCFF906YOC.Aligned.sortedByCoord.out.bed	23
ENCFF082HTI_ENCFF444LJL.Aligned.sortedByCoord.out.bed	28
ENCFF719MPH_ENCFF552MNU.Aligned.sortedByCoord.out.bed	28
ENCFF377HLA_ENCFF274VRW.Aligned.sortedByCoord.out.bed	13
ENCFF557IPZ_ENCFF417JSJ.Aligned.sortedByCoord.out.bed	13
ENCFF488HEY_ENCFF272SNX.Aligned.sortedByCoord.out.bed	36
ENCFF018KOA_ENCFF018IPL.Aligned.sortedByCoord.out.bed	36
ENCFF565LQE_ENCFF983CTL.Aligned.sortedByCoord.out.bed	23
ENCFF366WCT_ENCFF465BOU.Aligned.sortedByCoord.out.bed	23
ENCFF531GGR_ENCFF812EPK.Aligned.sortedByCoord.out.bed	28
ENCFF500LRG_ENCFF252ZKT.Aligned.sortedByCoord.out.bed	28
ENCFF395WVZ_ENCFF548WTO.Aligned.sortedByCoord.out.bed	17
ENCFF407LRS_ENCFF123TKQ.Aligned.sortedByCoord.out.bed	17
ENCFF590OGG_ENCFF893CWY.Aligned.sortedByCoord.out.bed	16
ENCFF167GYS_ENCFF483NVL.Aligned.sortedByCoord.out.bed	16
ENCFF066WEL_ENCFF479MEU.Aligned.sortedByCoord.out.bed	33
ENCFF105EPY_ENCFF503QYK.Aligned.sortedByCoord.out.bed	33
ENCFF992VRQ_ENCFF008LRD.Aligned.sortedByCoord.out.bed	12
ENCFF648GRM_ENCFF423NQN.Aligned.sortedByCoord.out.bed	12
ENCFF862RGW_ENCFF300PDX.Aligned.sortedByCoord.out.bed	36
ENCFF446DSH_ENCFF392ENF.Aligned.sortedByCoord.out.bed	36
ENCFF944CSS_ENCFF158TUE.Aligned.sortedByCoord.out.bed	13
ENCFF043USC_ENCFF463RQB.Aligned.sortedByCoord.out.bed	13
ENCFF666VEN_ENCFF862BYB.Aligned.sortedByCoord.out.bed	17
ENCFF414CSV_ENCFF379GSQ.Aligned.sortedByCoord.out.bed	17
ENCFF376EIQ_ENCFF799FSS.Aligned.sortedByCoord.out.bed	28
ENCFF798DTH_ENCFF394RFA.Aligned.sortedByCoord.out.bed	28
ENCFF324SCN_ENCFF338FLY.Aligned.sortedByCoord.out.bed	24
ENCFF233IUZ_ENCFF966FZW.Aligned.sortedByCoord.out.bed	24
ENCFF653FTD_ENCFF621LMO.Aligned.sortedByCoord.out.bed	10
ENCFF425BPJ_ENCFF391YLM.Aligned.sortedByCoord.out.bed	9
ENCFF922AOZ_ENCFF115GMC.Aligned.sortedByCoord.out.bed	9
ENCFF114XOP_ENCFF931IOG.Aligned.sortedByCoord.out.bed	16
ENCFF624CYB_ENCFF562JKQ.Aligned.sortedByCoord.out.bed	16
ENCFF877ELN_ENCFF938GRX.Aligned.sortedByCoord.out.bed	10
ENCFF888DBC_ENCFF340YJW.Aligned.sortedByCoord.out.bed	10
