SRR	study	study_description	annotation	cond	pair-end
SRR5960229	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast	FALSE	pair-end
SRR5960231	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960233	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast	FALSE	pair-end
SRR5960234	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast	FALSE	pair-end
SRR5960235	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960236	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960237	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960239	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960240	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960241	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast	FALSE	pair-end
SRR5960242	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast	FALSE	pair-end
SRR5960245	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960247	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960249	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D5	TRUE	pair-end
SRR5960251	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D12	TRUE	pair-end
SRR5960253	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D12	TRUE	pair-end
SRR5960256	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D12	TRUE	pair-end
SRR5960258	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960261	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D5	TRUE	pair-end
SRR5960262	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D5	TRUE	pair-end
SRR5960263	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960264	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960265	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960270	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D12	TRUE	pair-end
SRR5960272	GSE102983	reverse skin fibroblast to mesenchymal stem cell	bone mesenchymal stem cell	TRUE	pair-end
SRR5960273	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960274	GSE102983	reverse skin fibroblast to mesenchymal stem cell	mesenchymal stem cell-LC D15	TRUE	pair-end
SRR5960275	GSE102983	reverse skin fibroblast to mesenchymal stem cell	fibroblast induced D5	TRUE	pair-end
